20180304234000
20180305003000
z(m)	mdv_mn(m/s)	mdv_std(m/s)	lwp_mn(g/m2)	lwp_std(g/m2)
9.274	-0.48	0.21	69	24
9.307	-0.48	0.20	69	24
9.339	-0.48	0.20	69	24
9.372	-0.49	0.20	69	24
9.405	-0.49	0.21	69	24
9.437	-0.47	0.21	69	24
9.470	-0.48	0.21	69	24
9.502	-0.49	0.21	69	24
9.535	-0.51	0.23	69	24
9.567	-0.52	0.24	69	24
9.600	-0.54	0.26	69	24
9.632	-0.54	0.27	69	24
9.665	-0.55	0.24	69	24
9.697	-0.55	0.22	69	24
9.730	-0.55	0.19	69	24
9.762	-0.58	0.15	69	24
9.795	-0.62	0.06	69	24
9.827	-0.59	0.07	69	24
9.860	-0.61	0.07	69	24
9.892	-0.69	0.00	69	24
9.925	0.00	0.00	69	24
9.957	0.00	0.00	69	24
9.990	0.00	0.00	69	24
10.022	0.00	0.00	69	24
10.055	0.00	0.00	69	24
10.087	0.00	0.00	69	24
10.120	0.00	0.00	69	24
10.153	0.00	0.00	69	24
10.185	0.00	0.00	69	24
10.218	0.00	0.00	69	24
10.250	0.00	0.00	69	24
10.283	0.00	0.00	69	24
10.315	0.00	0.00	69	24
10.348	0.00	0.00	69	24
10.380	0.00	0.00	69	24
10.413	0.00	0.00	69	24
10.445	0.00	0.00	69	24
